case_id,classification_accuracy,difficulty,elapsed_seconds,format_valid,judge_elapsed_seconds,judge_scores,key_phrase_recall,output_tokens,overall_score,prompt_tokens,raw_output,split,task,variant
ETHNO-001,1.0,easy,1.3311,1.0,,,,2,1.0,627,Complete,development,completeness,deep
ETHNO-001,,easy,7.5769,1.0,5.840528100030497,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",0.8,138,0.36,431,"Problem Summary:

Maya struggles to establish a consistent study routine due to procrastination and feelings of overwhelm. She often finds herself scrolling through screens until late at night, leading to guilt, poor sleep quality, and subsequent anxiety.

Key Objectives:
- Develop a reliable daily study schedule
- Manage stress and anxiety related to studying
- Improve overall academic performance

Primary Pain Points:
- Procrastination and difficulty starting studies
- Feeling overwhelmed by the amount of material to cover
- Negative emotional responses to studying (guilt, anxiety)

Important Context:
- Finals are approaching, increasing pressure on Maya's academic performance
- Maya has a history of struggling with procrastination and time management",development,summary,deep
ETHNO-002,0.0,medium,4.2552,1.0,5.268746000016108,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",,2,0.15,597,Complete,development,completeness,deep
ETHNO-002,,medium,8.0925,1.0,6.146735000016633,"{""faithfulness"": 0.9, ""coverage"": 0.8, ""emotional_fidelity"": 0.7, ""concision"": 0.6, ""no_hallucination"": 1.0, ""overall"": 0.83, ""reason"": ""The output accurately reflects the reference data, with minor deviations in emotional fidelity and concision.""}",0.4,149,0.778,448,"Problem Summary:
Jon is struggling to separate work from family life due to burnout, leading to emotional exhaustion and a desire to be present with his children. He feels stuck in this situation, unable to find a balance that allows him to recharge.

Key Objectives:
- Regain control over work-life boundaries
- Recharge personal energy levels

Primary Pain Points:
- Feeling drained and depleted after work hours
- Difficulty disconnecting from work-related tasks during family time
- Struggling to maintain emotional presence with children due to burnout

Important Context:
- Jon's burnout is affecting his relationships with his children, making it challenging for him to be fully present and engaged.
- He has not considered quitting his job as an option.",development,summary,deep
ETHNO-003,1.0,hard,4.3039,1.0,,,,2,1.0,622,Complete,development,completeness,deep
ETHNO-003,,hard,8.8919,1.0,5.708213399979286,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",0.5,172,0.3,426,"Problem Summary:

Elena is struggling with financial management, feeling overwhelmed and stuck due to the constant appearance of fees. She describes her situation as ""drowning"" in money-related tasks, indicating a sense of emotional numbness. The user implies that her current routine and environment are not conducive to managing her finances effectively.

Key Objectives:
- Regain control over financial management
- Reduce stress related to unexpected fees

Primary Pain Points:
- Feeling overwhelmed by the constant appearance of fees
- Difficulty in identifying the source of these fees
- Struggling to find a manageable approach to financial organization

Important Context:
- Elena's age (29) and life stage may influence her financial priorities and management strategies.
- The user's emotional state, characterized as feeling ""stuck"" and ""numb,"" suggests that their financial situation is affecting their well-being.",development,summary,deep
ETHNO-004,1.0,medium,4.3395,1.0,,,,2,1.0,628,Complete,validation,completeness,deep
ETHNO-004,,medium,8.2531,1.0,5.6190476000192575,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",0.6666666666666666,148,0.3333,432,"Problem Summary:

Darius feels disconnected and isolated since retiring, with days feeling empty and lacking meaningful social interaction. He yearns for regular contact but is dissatisfied with suggestions that rely on technology or nighttime drives.

Key Objectives:
- Reestablish a sense of purpose and fulfillment
- Develop strategies for maintaining social connections in retirement

Primary Pain Points:
- Feeling stuck and disconnected from others
- Struggling to find meaningful ways to fill the void left by retirement
- Discomfort with relying on technology or driving at night for social interaction

Important Context:
- Retirement has led to a significant change in Darius's daily routine and sense of identity
- He is seeking more than superficial connections, wanting to engage in deeper conversations and relationships",validation,summary,deep
ETHNO-005,0.0,hard,4.2265,1.0,5.117761300003622,"{""followup_relevance"": 0.8, ""warmth"": 0.9, ""atomicity"": 1.0, ""non_redundancy"": 1.0, ""overall"": 0.87, ""reason"": ""The follow-up question targets the documented missing dimension 'struggle' and is relevant to the context, while also conveying empathy and understanding.""}",,2,0.3675,598,Complete,validation,completeness,deep
ETHNO-005,,hard,9.9443,1.0,6.6950972999911755,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",0.8333333333333334,199,0.3667,455,"Problem Summary:
Priya experiences chronic stress and overwhelm due to her rotating hospital shifts and caregiving responsibilities for her mother. She feels ""drowning"" in a sea of tasks, messages, and calls that require her attention, often while she should be sleeping. This situation leads to missed tasks, forgotten appointments, and a sense of being ""stuck."" Priya's daily routine is characterized by a constant state of alertness, making it difficult for her to relax or recharge.

Key Objectives:
- Manage the demands of rotating hospital shifts
- Balance caregiving responsibilities with personal needs

Primary Pain Points:
- Feeling overwhelmed and drowning in tasks and messages
- Missing important tasks or appointments due to lack of sleep or attention
- Struggling to maintain a sense of normalcy and relaxation in daily life

Important Context:
- Priya's work schedule is unpredictable, leading to irregular sleep patterns and fatigue.
- Her caregiving responsibilities for her mother add to the emotional burden and stress.",validation,summary,deep
ETHNO-006,1.0,hard,4.3957,1.0,,,,2,1.0,614,Complete,test,completeness,deep
ETHNO-006,,hard,8.1175,1.0,5.628378800000064,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",0.25,141,0.25,418,"Problem Summary:

Noah is struggling to understand how his changed schedule is affecting his daily life and routines. He feels overwhelmed and stuck, describing the past week as ""chaotic."" Noah's goal is to identify whether specific aspects of his routine are exacerbating his stress.

Key Objectives:
- Identify sources of increased stress
- Reassess the impact of schedule changes on daily life
- Develop strategies for managing stress

Primary Pain Points:
- Feeling overwhelmed and stuck in his current situation
- Difficulty understanding how his changed schedule is affecting him
- Struggling to cope with the emotional toll of chaotic week

Important Context:
- Noah's recent schedule change has caused significant disruption to his routine.",test,summary,deep
ETHNO-007,1.0,medium,4.4329,1.0,,,,2,1.0,629,Complete,test,completeness,deep
ETHNO-007,,medium,10.5628,1.0,6.075474100012798,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",0.6666666666666666,215,0.3333,433,"Problem Summary:

Amina is struggling to establish a boundary between her work and personal life due to the constant need to check customer messages at night. This has led to exhaustion, affecting not only her sleep but also her ability to perform well in school for her children's drop-off. Amina feels stuck and overwhelmed, as she does not want to ignore genuine emergencies while setting boundaries.

Key Objectives:
- Establish a clear boundary between work and personal life
- Manage stress and maintain emotional well-being
- Balance professional responsibilities with family obligations

Primary Pain Points:
- Difficulty disconnecting from work-related tasks outside of working hours
- Feeling overwhelmed by the constant need to respond to customer messages at night
- Struggling to set boundaries that do not lead to feelings of guilt or anxiety

Important Context:
- Amina's role requires her to be available for customer inquiries 24/7
- She has children who require her attention during school drop-off hours, creating a conflicting schedule
- Amina values being responsive to genuine emergencies while also needing time to rest and recharge",test,summary,deep
ETHNO-008,1.0,hard,4.4061,1.0,,,,2,1.0,628,Complete,test,completeness,deep
ETHNO-008,,hard,8.9328,1.0,6.532706000027247,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",0.6,165,0.32,432,"Problem Summary:

Leo, a 26-year-old recent transplant, feels stuck and uncertain about building a life in his new location. He expresses a desire for direction but is struggling to make decisions about work, friends, and daily routines.

Key Objectives:
- Establish a sense of stability and routine
- Develop meaningful relationships with others
- Discover a fulfilling career path

Primary Pain Points:
- Feeling overwhelmed by the need to create a life from scratch
- Difficulty in making decisions due to fear of making the wrong choice
- Struggling to find purpose and direction in his new environment

Important Context:
- Leo's recent move has led to feelings of isolation and disconnection from familiar networks and routines.
- He is uncertain about how to navigate the local community, access resources, and build relationships with like-minded individuals.",test,summary,deep
ETHNO-001,0.0,easy,2.8879,0.0,,,,17,0.0,245,"Incomplete

What's driving your desire to study consistently without panicking every night?",development,completeness,lite
ETHNO-001,,easy,7.1902,1.0,5.764036899956409,"{""overall"": 0.0, ""reason"": ""Judge output was not valid JSON.""}",0.8,142,0.36,254,"Problem Summary:
Maya struggles with procrastination and inconsistent studying habits, leading to poor sleep quality and increased stress levels. This affects her academic performance and overall well-being.

Key Objectives:
- Develop a consistent study routine
- Reduce feelings of guilt and anxiety associated with late-night scrolling
- Improve sleep quality

Primary Pain Points:
- Feeling overwhelmed and unable to focus on studying due to procrastination
- Guilt and shame after spending hours scrolling instead of studying
- Poor sleep quality resulting from stress and lack of relaxation before bed

Important Context:
- Finals are approaching, increasing pressure to perform well academically
- Maya's current study habits have led to feelings of burnout and decreased motivation",development,summary,lite
ETHNO-002,1.0,medium,3.0885,0.0,5.27616670000134,"{""followup_relevance"": 0.8, ""warmth"": 0.9, ""atomicity"": 0.7, ""non_redundancy"": 0.6, ""overall"": 0.8, ""reason"": ""The follow-up question targets the documented missing dimension of 'direction' and is relevant to the user's expressed struggle with being burned out from work.""}",,36,0.8,215,"Based on the conversation history, I would mark the problem as COMPLETE. The user has already expressed their struggle with being burned out from work and implied that it matters to them.",development,completeness,lite
